company_id,sector,annual_revenue,revenue_growth_rate,gross_profit_margin,net_profit_margin,ebitda_margin,operating_profit_margin,total_debt,debt_to_equity_ratio,debt_to_revenue_ratio,interest_coverage_ratio,long_term_debt_ratio,operating_cash_flow,free_cash_flow,current_ratio,quick_ratio,cash_reserve_months,cash_flow_to_debt,market_share_percent,market_growth_rate,customer_retention_rate,revenue_concentration,employee_count,revenue_per_employee,asset_turnover_ratio,inventory_turnover,return_on_assets,return_on_equity,years_in_operation,credit_rating_score,bankruptcy_history,regulatory_violations,management_score,esg_score,financial_distress
COMP_00000,Real Estate,413931942.13,0.1886,0.6147,-0.0557,0.153,0.4332,58228348.13,2.5644,0.1407,1.8431,0.14,62154333.86,40054699.19,2.2864,2.1066,18.09,1.0674,3.8961,0.134,0.9146,0.7158,19838,20865.61,1.1058,2.4582,0.1364,-0.168,50,310.78,1,0,8.33,52.27,0
COMP_00001,Retail,382499369.53,0.4496,0.0616,-0.0356,-0.0343,-0.0646,182506412.04,2.4259,0.4771,3.4471,0.5723,80159848.17,41848728.49,2.4519,1.6551,16.18,0.4392,15.8489,-0.0258,0.5115,0.5949,14271,26802.56,2.389,10.4072,0.1951,-0.1603,68,543.43,0,0,1.18,64.43,0
COMP_00002,Manufacturing,287190946.78,-0.1874,0.1808,0.3524,0.0485,0.3848,711454272.44,1.5797,2.4773,19.8747,0.6363,24877011.33,20561701.17,2.669,1.4383,19.28,0.035,8.9986,0.219,0.5546,0.221,43627,6582.87,0.3899,8.6098,-0.0912,0.2206,70,523.14,0,0,8.23,12.91,0
COMP_00003,Real Estate,478067524.66,-0.1832,0.5084,-0.154,0.4295,0.0472,151300020.87,2.7454,0.3165,17.4883,0.5965,13699421.77,13971233.24,3.6358,1.8726,1.32,0.0905,1.2057,0.3196,0.9583,0.5541,44362,10776.51,1.0919,11.0912,-0.092,0.0735,34,306.58,0,0,2.11,46.12,0
COMP_00004,Finance,101036783.25,0.2011,0.313,0.1657,0.1165,-0.1424,307583694.77,1.3171,3.0443,3.0999,0.5332,11667744.58,8702189.47,3.4336,1.7229,22.48,0.0379,33.7295,-0.0027,0.5604,0.8226,41816,2416.22,0.678,2.2214,-0.0102,-0.2021,25,714.05,0,0,8.91,62.24,0
COMP_00005,Telecom,55522840.94,0.5517,0.7377,0.209,0.2723,0.0848,64323730.0,1.3789,1.1585,11.816,0.2397,16101758.46,10845741.77,3.2404,2.9881,20.0,0.2503,19.9292,0.2294,0.7342,0.7662,45975,1207.67,1.9569,11.6019,-0.1036,-0.0816,45,309.29,0,2,1.2,86.14,0
COMP_00006,Manufacturing,427127021.51,0.0735,0.5158,0.1033,0.2996,0.1555,171476976.6,3.8106,0.4015,7.8952,0.7728,-35008947.27,-27218255.42,2.865,2.7162,20.09,-0.2042,24.5575,0.344,0.5801,0.813,47875,8921.71,2.2826,9.4345,-0.0252,0.0687,1,746.72,1,2,7.56,75.11,0
COMP_00007,Manufacturing,220135758.5,-0.0058,0.7196,0.2165,0.3691,-0.0851,590662782.7,1.7785,2.6832,11.1029,0.362,24537723.19,28743260.28,2.6643,1.3938,11.48,0.0415,21.7476,0.3515,0.8897,0.8336,35636,6177.34,0.5078,14.2457,0.1175,-0.0524,58,474.67,0,0,9.74,23.41,0
COMP_00008,Real Estate,423637458.25,0.246,0.191,-0.0963,0.0097,0.1726,797731616.0,0.3519,1.8831,9.6754,0.8889,13431764.93,10694552.1,3.7286,2.4654,19.21,0.0168,5.2817,0.1764,0.5463,0.2506,41636,10174.79,1.6644,6.8445,0.0429,0.0331,48,405.0,0,0,2.53,67.88,0
COMP_00009,Healthcare,446652012.39,0.5374,0.6548,0.3116,0.0829,0.3417,510333918.88,1.784,1.1426,1.4389,0.4079,-25843242.75,-17618544.46,1.1743,0.9408,14.02,-0.0506,6.0526,-0.0239,0.5411,0.6757,27852,16036.62,2.1081,16.7405,-0.0164,0.4336,17,573.35,0,0,8.26,22.27,0
