date,volatility_index,index_return,vix,spread
2023-01-31,34.07,-0.045,23.09,2.896
2023-02-28,23.22,0.0672,34.14,1.378
2023-03-31,14.52,0.01,31.2,3.44
2023-04-30,24.6,0.0328,18.82,2.306
2023-05-31,22.45,0.0357,18.53,2.247
2023-06-30,31.42,0.0664,16.56,2.744
2023-07-31,14.26,0.0328,31.17,2.935
2023-08-31,23.23,0.0298,33.87,2.469
2023-09-30,15.45,-0.0413,20.89,0.884
2023-10-31,19.47,0.0174,14.54,1.515
2023-11-30,28.96,-0.0305,16.14,3.284
2023-12-31,22.95,0.0459,39.16,1.174
2024-01-31,20.65,0.0166,21.68,1.617
2024-02-29,21.07,0.0384,34.0,1.796
2024-03-31,22.57,-0.0446,30.24,1.818
2024-04-30,30.06,-0.039,23.93,2.339
2024-05-31,32.52,0.0431,19.35,3.329
2024-06-30,33.97,-0.0406,17.16,1.222
2024-07-31,30.1,-0.0407,29.99,0.865
2024-08-31,19.25,-0.0484,34.14,1.092
2024-09-30,27.83,0.0743,30.74,3.161
2024-10-31,22.06,0.0459,27.79,2.437
2024-11-30,17.86,-0.0041,15.09,1.358
2024-12-31,31.34,-0.0115,39.18,2.948
